"alternative.id","review_issue_id","nbr_comments","nbr_comments_nobot"
"10.21105/joss.01903","1903",35,18
"10.21105/joss.02328","2328",42,25
"10.21105/joss.03172","3172",89,54
"10.21105/joss.05328","5328",38,19
"10.21105/joss.02179","2179",38,24
"10.21105/joss.01556","1556",60,34
"10.21105/joss.03167","3167",85,59
"10.21105/joss.00731","731",34,20
"10.21105/joss.02906","2906",54,33
"10.21105/joss.03089","3089",49,29
"10.21105/joss.01504","1504",45,29
"10.21105/joss.03021","3021",85,45
"10.21105/joss.00638","638",32,20
"10.21105/joss.03828","3828",59,37
"10.21105/joss.05553","5553",59,35
"10.21105/joss.00861","861",18,13
"10.21105/joss.03139","3139",52,31
"10.21105/joss.00593","593",62,52
"10.21105/joss.01044","1044",79,49
"10.21105/joss.04644","4644",53,31
"10.21105/joss.01287","1287",39,20
"10.21105/joss.00950","950",57,35
"10.21105/joss.02782","2782",56,36
"10.21105/joss.01904","1904",80,56
"10.21105/joss.02554","2554",59,42
"10.21105/joss.01141","1141",32,19
"10.21105/joss.02975","2975",66,40
"10.21105/joss.02315","2315",42,25
"10.21105/joss.01021","1021",62,40
"10.21105/joss.03884","3884",77,46
"10.21105/joss.03056","3056",51,30
"10.21105/joss.04818","4818",172,140
"10.21105/joss.00052","52",53,46
"10.21105/joss.03919","3919",81,60
"10.21105/joss.03430","3430",68,37
"10.21105/joss.02854","2854",82,63
"10.21105/joss.02430","2430",44,23
"10.21105/joss.00890","890",38,24
"10.21105/joss.02949","2949",58,41
"10.21105/joss.01942","1942",161,117
"10.21105/joss.04039","4039",59,37
"10.21105/joss.01095","1095",37,22
"10.21105/joss.03079","3079",83,50
"10.21105/joss.00667","667",44,33
"10.21105/joss.03652","3652",68,45
"10.21105/joss.00368","368",35,33
"10.21105/joss.00190","190",19,16
"10.21105/joss.00189","189",10,8
"10.21105/joss.05779","5779",95,60
"10.21105/joss.02596","2596",67,45
"10.21105/joss.00153","153",34,31
"10.21105/joss.00488","488",25,18
"10.21105/joss.01612","1612",108,68
"10.21105/joss.01077","1077",43,18
"10.21105/joss.00363","363",22,19
"10.21105/joss.00179","179",13,11
"10.21105/joss.00301","301",28,26
"10.21105/joss.03992","3992",59,34
"10.21105/joss.01665","1665",88,57
"10.21105/joss.01862","1862",97,59
"10.21105/joss.05820","5820",62,41
"10.21105/joss.06339","6339",58,36
"10.21105/joss.03322","3322",74,45
"10.21105/joss.03032","3032",56,34
"10.21105/joss.00351","351",13,11
"10.21105/joss.00782","782",63,43
"10.21105/joss.03078","3078",106,73
"10.21105/joss.01584","1584",79,61
"10.21105/joss.05844","5844",87,55
"10.21105/joss.03738","3738",96,65
"10.21105/joss.01699","1699",77,45
"10.21105/joss.03065","3065",75,51
"10.21105/joss.02048","2048",119,94
"10.21105/joss.01675","1675",65,40
"10.21105/joss.01910","1910",40,22
"10.21105/joss.06469","6469",82,50
"10.21105/joss.04415","4415",52,36
"10.21105/joss.02265","2265",45,24
"10.21105/joss.04193","4193",72,49
"10.21105/joss.04036","4036",67,42
"10.21105/joss.03273","3273",69,49
"10.21105/joss.03051","3051",56,39
"10.21105/joss.02814","2814",62,44
"10.21105/joss.01344","1344",57,35
"10.21105/joss.04074","4074",56,29
"10.21105/joss.01835","1835",87,66
"10.21105/joss.00567","567",19,12
"10.21105/joss.00971","971",16,11
"10.21105/joss.00792","792",24,15
"10.21105/joss.03024","3024",51,33
"10.21105/joss.01701","1701",138,74
"10.21105/joss.01006","1006",28,17
"10.21105/joss.01577","1577",70,41
"10.21105/joss.02073","2073",33,19
"10.21105/joss.00612","612",21,16
"10.21105/joss.03439","3439",55,34
"10.21105/joss.02318","2318",56,39
"10.21105/joss.01738","1738",80,44
"10.21105/joss.03038","3038",57,34
"10.21105/joss.03882","3882",56,32
"10.21105/joss.05973","5973",75,48
"10.21105/joss.01500","1500",85,56
"10.21105/joss.06024","6024",74,47
"10.21105/joss.02892","2892",68,42
"10.21105/joss.01542","1542",67,40
"10.21105/joss.01812","1812",54,35
"10.21105/joss.00300","300",120,91
"10.21105/joss.01453","1453",106,71
"10.21105/joss.02164","2164",55,35
"10.21105/joss.02474","2474",76,52
"10.21105/joss.00513","513",12,7
"10.21105/joss.01865","1865",142,111
"10.21105/joss.00547","547",70,50
"10.21105/joss.04602","4602",53,36
"10.21105/joss.00625","625",8,3
"10.21105/joss.01136","1136",70,45
"10.21105/joss.00366","366",23,21
"10.21105/joss.01545","1545",48,25
"10.21105/joss.00719","719",41,28
"10.21105/joss.00251","251",49,47
"10.21105/joss.02694","2694",84,65
"10.21105/joss.03766","3766",58,36
"10.21105/joss.00830","830",72,67
"10.21105/joss.01992","1992",101,74
"10.21105/joss.02029","2029",75,49
"10.21105/joss.02761","2761",23,11
"10.21105/joss.02514","2514",72,52
"10.21105/joss.01626","1626",33,22
"10.21105/joss.01589","1589",77,45
"10.21105/joss.00616","616",33,22
"10.21105/joss.01466","1466",83,51
"10.21105/joss.01532","1532",73,49
"10.21105/joss.00921","921",44,27
"10.21105/joss.02643","2643",65,35
"10.21105/joss.03543","3543",52,33
"10.21105/joss.06425","6425",66,45
"10.21105/joss.01410","1410",77,46
"10.21105/joss.06123","6123",80,51
"10.21105/joss.06089","6089",68,45
"10.21105/joss.05886","5886",88,62
"10.21105/joss.00465","465",36,25
"10.21105/joss.00493","493",51,44
"10.21105/joss.05584","5584",109,71
"10.21105/joss.03383","3383",91,58
"10.21105/joss.04458","4458",52,32
"10.21105/joss.02116","2116",47,32
"10.21105/joss.05549","5549",146,119
"10.21105/joss.03262","3262",77,46
"10.21105/joss.01458","1458",41,26
"10.21105/joss.03866","3866",81,41
"10.21105/joss.03093","3093",84,51
"10.21105/joss.01915","1915",51,27
"10.21105/joss.01361","1361",33,21
"10.21105/joss.05738","5738",38,22
"10.21105/joss.03325","3325",101,72
"10.21105/joss.01716","1716",62,42
"10.21105/joss.01771","1771",68,43
"10.21105/joss.01957","1957",58,31
"10.21105/joss.02348","2348",53,35
"10.21105/joss.03490","3490",69,43
"10.21105/joss.01991","1991",61,41
"10.21105/joss.02641","2641",59,44
"10.21105/joss.06083","6083",132,90
"10.21105/joss.03895","3895",74,50
"10.21105/joss.02845","2845",60,39
"10.21105/joss.00580","580",24,19
"10.21105/joss.02699","2699",68,44
"10.21105/joss.04757","4757",81,57
"10.21105/joss.00281","281",21,19
"10.21105/joss.02527","2527",49,32
"10.21105/joss.05024","5024",78,55
"10.21105/joss.01833","1833",71,45
"10.21105/joss.04823","4823",70,45
"10.21105/joss.00738","738",31,24
"10.21105/joss.01882","1882",56,38
"10.21105/joss.03098","3098",67,45
"10.21105/joss.03649","3649",91,62
"10.21105/joss.02818","2818",46,26
"10.21105/joss.03265","3265",49,31
"10.21105/joss.02480","2480",44,26
"10.21105/joss.02395","2395",64,44
"10.21105/joss.01816","1816",68,50
"10.21105/joss.03634","3634",70,46
